eid,nid_s,nid_e,length,lanes,maxmph,type,edge_osmid,start_osm,end_osm,geometry,points_list,long_points_list
0,24,96,51.23662689904994,1,25,residential,12170390,110348357,110387946,"LINESTRING (-122.7088369 37.9005658, -122.7089076 37.9006585, -122.7089322 37.90069, -122.709149 37.9009552)","[(-122.7088369, 37.9005658), (-122.7089076, 37.9006585), (-122.7089322, 37.90069), (-122.709149, 37.9009552)]","[(-122.7088369, 37.9005658), (-122.70887219862861, 37.900612082643185), (-122.7089076, 37.9006585), (-122.70896930401584, 37.900735387384685), (-122.70900640803168, 37.90078077476938), (-122.70904351204751, 37.90082616215407), (-122.70908061606336, 37.900871549538756), (-122.709149, 37.9009552)]"
1,96,24,51.23662689904994,1,25,residential,12170390,110387946,110348357,"LINESTRING (-122.709149 37.9009552, -122.7089322 37.90069, -122.7089076 37.9006585, -122.7088369 37.9005658)","[(-122.709149, 37.9009552), (-122.7089322, 37.90069), (-122.7089076, 37.9006585), (-122.7088369, 37.9005658)]","[(-122.709149, 37.9009552), (-122.70911189598417, 37.90090981261531), (-122.70907479196832, 37.900864425230615), (-122.70903768795249, 37.90081903784593), (-122.70900058393664, 37.90077365046124), (-122.7089322, 37.90069), (-122.70887230137139, 37.900612217356816), (-122.7088369, 37.9005658)]"
2,61,49,68.77375091946104,1,25,residential,12170827,110350999,279230067,"LINESTRING (-122.6868786 37.9079217, -122.6872289 37.9079568, -122.6874254 37.9080509, -122.6875361 37.9081832)","[(-122.6868786, 37.9079217), (-122.6872289, 37.9079568), (-122.6874254, 37.9080509), (-122.6875361, 37.9081832)]","[(-122.6868786, 37.9079217), (-122.68694631399138, 37.907928484930345), (-122.68701402798277, 37.90793526986068), (-122.68708174197417, 37.90794205479102), (-122.68714945596555, 37.90794883972136), (-122.6872289, 37.9079568), (-122.68728731281107, 37.907984772750744), (-122.68734572562212, 37.90801274550149), (-122.6874254, 37.9080509), (-122.687463113767, 37.9080959725508), (-122.6875361, 37.9081832)]"
3,49,61,68.77375091946104,1,25,residential,12170827,279230067,110350999,"LINESTRING (-122.6875361 37.9081832, -122.6874254 37.9080509, -122.6872289 37.9079568, -122.6868786 37.9079217)","[(-122.6875361, 37.9081832), (-122.6874254, 37.9080509), (-122.6872289, 37.9079568), (-122.6868786, 37.9079217)]","[(-122.6875361, 37.9081832), (-122.687498386233, 37.908138127449206), (-122.6874254, 37.9080509), (-122.68736698718892, 37.908022927249256), (-122.68730857437787, 37.90799495449851), (-122.6872289, 37.9079568), (-122.68716118600861, 37.90795001506966), (-122.68709347201722, 37.907943230139324), (-122.68702575802583, 37.90793644520898), (-122.68695804403444, 37.90792966027865), (-122.6868786, 37.9079217)]"
4,49,68,62.59212306067182,1,25,residential,12170827,279230067,110351008,"LINESTRING (-122.6875361 37.9081832, -122.687573 37.908212, -122.687695 37.908725)","[(-122.6875361, 37.9081832), (-122.687573, 37.908212), (-122.687695, 37.908725)]","[(-122.6875361, 37.9081832), (-122.68758563820174, 37.90826514260241), (-122.68759827640349, 37.90831828520482), (-122.68761091460523, 37.90837142780723), (-122.68762355280697, 37.90842457040964), (-122.68763619100872, 37.908477713012054), (-122.68764882921046, 37.90853085561446), (-122.6876614674122, 37.90858399821687), (-122.68767410561395, 37.90863714081928), (-122.687695, 37.908725)]"
5,68,49,62.59212306067182,1,25,residential,12170827,110351008,279230067,"LINESTRING (-122.687695 37.908725, -122.687573 37.908212, -122.6875361 37.9081832)","[(-122.687695, 37.908725), (-122.687573, 37.908212), (-122.6875361, 37.9081832)]","[(-122.687695, 37.908725), (-122.68768236179827, 37.908671857397586), (-122.68766972359651, 37.908618714795175), (-122.68765708539478, 37.908565572192764), (-122.68764444719304, 37.90851242959035), (-122.68763180899128, 37.90845928698794), (-122.68761917078955, 37.90840614438554), (-122.68760653258781, 37.90835300178313), (-122.68759389438605, 37.908299859180715), (-122.687573, 37.908212)]"
6,62,13,146.93717199400714,1,25,residential,12171742,110358680,3401274918,"LINESTRING (-122.7037716 37.9075842, -122.7038989 37.9075125, -122.7040795 37.9073131, -122.7040935 37.9071375, -122.7041691 37.9068976, -122.7042956 37.9067194, -122.7046289 37.9065275)","[(-122.7037716, 37.9075842), (-122.7038989, 37.9075125), (-122.7040795, 37.9073131), (-122.7040935, 37.9071375), (-122.7041691, 37.9068976), (-122.7042956, 37.9067194), (-122.7046289, 37.9065275)]","[(-122.7037716, 37.9075842), (-122.70382722936121, 37.90755286751612), (-122.7038989, 37.9075125), (-122.70393869328593, 37.907468564334366), (-122.70397848657186, 37.90742462866873), (-122.70401827985779, 37.90738069300309), (-122.7040795, 37.9073131), (-122.70408380286601, 37.907259129766395), (-122.70408810573201, 37.907205159532786), (-122.7040935, 37.9071375), (-122.70411003401638, 37.90708503292948), (-122.70412656803278, 37.907032565858955), (-122.70414310204916, 37.90698009878844), (-122.7041691, 37.9068976), (-122.70420255924591, 37.90685046610575), (-122.70423601849183, 37.90680333221151), (-122.7042956, 37.9067194), (-122.7043508138384, 37.90668761021425), (-122.70440602767681, 37.906655820428504), (-122.70446124151522, 37.90662403064275), (-122.70451645535363, 37.906592240857), (-122.70457166919203, 37.90656045107126), (-122.7046289, 37.9065275)]"
7,13,62,146.93717199400714,1,25,residential,12171742,3401274918,110358680,"LINESTRING (-122.7046289 37.9065275, -122.7042956 37.9067194, -122.7041691 37.9068976, -122.7040935 37.9071375, -122.7040795 37.9073131, -122.7038989 37.9075125, -122.7037716 37.9075842)","[(-122.7046289, 37.9065275), (-122.7042956, 37.9067194), (-122.7041691, 37.9068976), (-122.7040935, 37.9071375), (-122.7040795, 37.9073131), (-122.7038989, 37.9075125), (-122.7037716, 37.9075842)]","[(-122.7046289, 37.9065275), (-122.7045736861616, 37.906559289785754), (-122.70451847232319, 37.9065910795715), (-122.70446325848478, 37.90662286935725), (-122.70440804464637, 37.906654659143), (-122.70435283080796, 37.906686448928745), (-122.7042956, 37.9067194), (-122.70426214075408, 37.90676653389425), (-122.70422868150817, 37.90681366778849), (-122.7041691, 37.9068976), (-122.70415256598362, 37.90695006707052), (-122.70413603196722, 37.90700253414104), (-122.70411949795084, 37.90705500121156), (-122.7040935, 37.9071375), (-122.704089197134, 37.907191470233606), (-122.704084894268, 37.907245440467214), (-122.7040795, 37.9073131), (-122.70403970671407, 37.90735703566564), (-122.70399991342815, 37.90740097133128), (-122.70396012014221, 37.907444906996915), (-122.7038989, 37.9075125), (-122.70384327063879, 37.90754383248389), (-122.7037716, 37.9075842)]"
8,109,188,11.181294898035862,1,25,residential,12172378,110365447,110365449,"LINESTRING (-122.7085734 37.8981973, -122.7085122 37.8981091)","[(-122.7085734, 37.8981973), (-122.7085122, 37.8981091)]","[(-122.7085734, 37.8981973), (-122.7085122, 37.8981091)]"
9,188,109,11.181294898035862,1,25,residential,12172378,110365449,110365447,"LINESTRING (-122.7085122 37.8981091, -122.7085734 37.8981973)","[(-122.7085122, 37.8981091), (-122.7085734, 37.8981973)]","[(-122.7085122, 37.8981091), (-122.7085734, 37.8981973)]"
10,245,248,180.49520096259806,1,25,unclassified,12172644,110367725,110367728,"LINESTRING (-122.697367 37.9346398, -122.697465 37.9346211, -122.6992324 37.9342871, -122.6993673 37.9342581)","[(-122.697367, 37.9346398), (-122.697465, 37.9346211), (-122.6992324, 37.9342871), (-122.6993673, 37.9342581)]","[(-122.697367, 37.9346398), (-122.697465, 37.9346211), (-122.69753141355996, 37.93460854928764), (-122.6975978271199, 37.93459599857528), (-122.69766424067987, 37.93458344786292), (-122.69773065423982, 37.93457089715056), (-122.69779706779978, 37.9345583464382), (-122.69786348135973, 37.93454579572584), (-122.6979298949197, 37.934533245013476), (-122.69799630847965, 37.93452069430112), (-122.69806272203961, 37.93450814358876), (-122.69812913559956, 37.934495592876395), (-122.69819554915952, 37.93448304216404), (-122.69826196271947, 37.93447049145168), (-122.69832837627943, 37.934457940739314), (-122.69839478983938, 37.93444539002696), (-122.69846120339935, 37.934432839314596), (-122.69852761695931, 37.93442028860223), (-122.69859403051926, 37.93440773788988), (-122.69866044407922, 37.934395187177515), (-122.69872685763917, 37.93438263646515), (-122.69879327119914, 37.934370085752796), (-122.69885968475909, 37.934357535040434), (-122.69892609831905, 37.93434498432807), (-122.698992511879, 37.934332433615715), (-122.69905892543896, 37.93431988290335), (-122.69912533899891, 37.93430733219099), (-122.6992324, 37.9342871), (-122.69929829363299, 37.93427293457852), (-122.6993673, 37.9342581)]"
