parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19008121,110412690,4,0,2634.0,local,110397253
19223115,110459170,2,0,2449.0,local,110397253
19308116,2481944221,2,1,2686.0,local,110397253
19109125,110412273,0,0,2438.0,local,110397253
19310115,110429434,100,0,1000000.0,local,110397253
18815071,110450104,4,1,2944.0,local,110397253
19308132,2481944221,4,2,2626.0,local,110397253
19102132,110435308,1,0,2279.0,local,110397253
18815070,3387083180,4,3,2972.0,local,110397253
18810005,110396428,2,2,2677.0,local,110397253
19004240,110348323,3,0,4976.0,local,110397253
19117216,110392614,4,4,2770.0,local,110397253
19226106,110410670,0,1,2161.0,local,110397253
19115120,110348621,5,0,5632.0,local,110397253
18810038,110396428,2,3,3242.0,local,110397253
19221225,110392602,100,1,1000000.0,local,110397253
19303035,110414616,100,2,1000000.0,local,110397253
19209226,110383326,5,1,5587.0,local,110397253
19023232,110366323,5,2,5465.0,local,110397253
19016224,110438781,5,3,5643.0,local,110397253
19210223,110401282,3,1,4880.0,local,110397253
19009107,110392830,4,5,2897.0,local,110397253
19205232,3367883696,100,3,1000000.0,local,110397253
19016109,110460422,4,6,2687.0,local,110397253
19117208,110392614,100,4,1000000.0,local,110397253
18814050,110367728,2,4,3119.0,local,110397253
19121115,110407258,4,7,3035.0,local,110397253
19308119,2481944221,100,5,1000000.0,local,110397253
19208118,110383326,3,2,5158.0,local,110397253
19309221,110386918,5,4,5848.0,local,110397253
19204123,3367883696,100,6,1000000.0,local,110397253
19122219,110388967,100,7,1000000.0,local,110397253
19309222,110451170,3,3,4951.0,local,110397253
19022222,110365449,5,5,5269.0,local,110397253
18814062,110367725,5,6,5480.0,local,110397253
19223218,110460424,3,4,5106.0,local,110397253
19215234,110438784,5,7,5647.0,local,110397253
19213233,110383328,5,8,5283.0,local,110397253
19217135,110392600,4,8,2642.0,local,110397253
19209227,110401286,4,9,2637.0,local,110397253
19106115,110422635,3,5,5181.0,local,110397253
19019131,2366744030,100,8,1000000.0,local,110397253
19005233,3945189981,3,6,5244.0,local,110397253
19311213,110386925,4,10,2728.0,local,110397253
19110205,110412273,4,11,2949.0,local,110397253
18810035,110396428,3,7,4731.0,local,110397253
19203162,3401274918,5,9,5630.0,local,110397253
19222227,110454526,0,2,2737.0,local,110397253
19312117,110451170,4,12,3085.0,local,110397253
19022223,110392632,100,9,1000000.0,local,110397253
19314207,110421540,0,3,2431.0,local,110397253
18815024,110393217,3,8,5064.0,local,110397253
19008130,110348362,100,10,1000000.0,local,110397253
19219226,110460424,100,11,1000000.0,local,110397253
19221212,110392602,5,10,5723.0,local,110397253
19203202,110382855,2,5,3292.0,local,110397253
19308122,2481944221,1,1,2299.0,local,110397253
19313236,110414599,4,13,3283.0,local,110397253
18815090,110450104,0,4,2695.0,local,110397253
19302025,110382886,100,12,1000000.0,local,110397253
18814054,110367728,0,5,1894.0,local,110397253
19313204,110421540,100,13,1000000.0,local,110397253
18815020,110393217,2,6,2935.0,local,110397253
19109120,110388963,100,14,1000000.0,local,110397253
19006217,110398036,5,11,5754.0,local,110397253
19020127,2366744030,5,12,5716.0,local,110397253
19007124,110455262,0,6,2124.0,local,110397253
18814012,110437088,3,9,4980.0,local,110397253
19312140,110386918,5,13,5401.0,local,110397253
19115217,110392620,0,7,2280.0,local,110397253
18810036,110396428,3,10,5246.0,local,110397253
19213210,110438785,4,14,3293.0,local,110397253
19219228,110392609,100,15,1000000.0,local,110397253
19120110,110407258,5,14,5804.0,local,110397253
19313343,110421520,5,15,5931.0,local,110397253
18810041,110396428,100,16,1000000.0,local,110397253
19314215,1900719912,4,15,2704.0,local,110397253
18814035,973221268,100,17,1000000.0,local,110397253
19017119,312072227,3,11,4818.0,local,110397253
19206221,110401284,5,16,6200.0,local,110397253
19008122,110412690,5,17,5644.0,local,110397253
19307511,110393241,5,18,6146.0,local,110397253
19316221,110445895,2,7,3017.0,local,110397253
19311214,110394015,3,12,5429.0,local,110397253
19112116,110450444,100,18,1000000.0,local,110397253
19214117,110410673,3,13,4901.0,local,110397253
18815080,110393217,5,19,5785.0,local,110397253
19009209,110348362,0,8,2212.0,local,110397253
19209229,110401286,100,19,1000000.0,local,110397253
19204248,110401288,3,14,4851.0,local,110397253
19120104,110417188,4,16,3136.0,local,110397253
19312119,110451170,0,9,2333.0,local,110397253
19215124,110392606,3,15,4992.0,local,110397253
19015202,110435310,2,8,3213.0,local,110397253
19204237,110358680,100,20,1000000.0,local,110397253
19205230,110401286,100,21,1000000.0,local,110397253
19217125,110438786,3,16,4922.0,local,110397253
19016124,110438781,4,17,3101.0,local,110397253
19208119,110383612,100,22,1000000.0,local,110397253
18814069,110367728,5,20,5837.0,local,110397253
19209228,110401286,0,10,2151.0,local,110397253
19003206,110387957,4,18,3182.0,local,110397253
19007133,110401292,4,19,2716.0,local,110397253
19308126,110413465,5,21,6663.0,local,110397253
19214116,110410673,4,20,3084.0,local,110397253
19317214,110381017,4,21,2951.0,local,110397253
19113219,110441857,5,22,6811.0,local,110397253
19313226,110421553,100,23,1000000.0,local,110397253
19121119,110407258,3,17,5208.0,local,110397253
19310226,110443304,2,9,2901.0,local,110397253
19204132,3367883696,4,22,3072.0,local,110397253
18814074,110396428,4,23,2930.0,local,110397253
19217133,110392602,5,23,6449.0,local,110397253
19004137,110414475,5,24,6163.0,local,110397253
19216111,110383331,1,2,2664.0,local,110397253
19206217,110382867,100,24,1000000.0,local,110397253
19208115,110419724,5,25,6823.0,local,110397253
19101130,110392620,5,26,6548.0,local,110397253
19211131,110419724,3,18,5213.0,local,110397253
18817042,110436759,5,27,6975.0,local,110397253
19119115,110455254,100,25,1000000.0,local,110397253
19117213,110435295,4,24,2790.0,local,110397253
19307203,110393241,100,26,1000000.0,local,110397253
19207118,110456934,2,10,3051.0,local,110397253
19114212,110348621,2,11,3166.0,local,110397253
19222116,110410670,4,25,2611.0,local,110397253
19311113,110386925,4,26,3346.0,local,110397253
19529015,110393217,5,28,6040.0,local,110397253
19221210,110383333,5,29,6785.0,local,110397253
19108117,110443480,100,27,1000000.0,local,110397253
19313339,110421520,0,11,2610.0,local,110397253
19126121,110441845,100,28,1000000.0,local,110397253
19101137,110398027,100,29,1000000.0,local,110397253
19313307,110421520,4,27,3179.0,local,110397253
19112217,110392625,2,12,3268.0,local,110397253
19011125,5071533356,100,30,1000000.0,local,110397253
19125122,110450446,100,31,1000000.0,local,110397253
19204135,3367883696,2,13,3236.0,local,110397253
19206220,110401282,4,28,2774.0,local,110397253
19315116,110386925,5,30,7516.0,local,110397253
19314117,110443304,5,31,6572.0,local,110397253
19102233,110392617,3,19,4697.0,local,110397253
19308136,2481944221,1,3,2516.0,local,110397253
19103238,110461563,2,14,2415.0,local,110397253
19307208,110393241,3,20,4617.0,local,110397253
19216136,110383607,3,21,5072.0,local,110397253
19115119,110392622,5,32,7296.0,local,110397253
19205201,110382860,5,33,7533.0,local,110397253
19125120,110417193,3,22,4862.0,local,110397253
19225211,110457890,5,34,7169.0,local,110397253
19310116,110421520,4,29,3434.0,local,110397253
19017113,312072227,4,30,3167.0,local,110397253
19114217,110348621,5,35,7288.0,local,110397253
19313318,110414599,5,36,6333.0,local,110397253
19303012,110381021,3,23,5454.0,local,110397253
19014130,110421910,5,37,7134.0,local,110397253
19122223,110412268,5,38,7669.0,local,110397253
19113113,110441857,2,15,2793.0,local,110397253
19312101,110386918,1,4,1971.0,local,110397253
19314304,110402623,4,31,2628.0,local,110397253
19015121,110435310,100,32,1000000.0,local,110397253
19208236,110419724,5,39,7439.0,local,110397253
19119205,110461566,5,40,7844.0,local,110397253
19313315,110421540,3,24,4825.0,local,110397253
19308123,110386918,100,33,1000000.0,local,110397253
19119116,110455254,5,41,7566.0,local,110397253
19312139,110451170,5,42,7710.0,local,110397253
19223211,110460424,100,34,1000000.0,local,110397253
19308214,2481944221,5,43,6801.0,local,110397253
19219118,110392604,5,44,7570.0,local,110397253
19102239,110392617,100,35,1000000.0,local,110397253
19218130,110410673,5,45,7065.0,local,110397253
19003310,110387967,3,25,5134.0,local,110397253
19210224,110401282,2,16,2712.0,local,110397253
19120213,110407256,0,12,2621.0,local,110397253
19205202,110382860,100,36,1000000.0,local,110397253
19017109,312072227,1,5,2475.0,local,110397253
