parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19308129,2481944221,3,0,5292.0,local,110397253
19017109,312072227,5,0,5268.0,local,110397253
19311213,110386925,5,1,4840.0,local,110397253
19119116,110455254,4,0,3258.0,local,110397253
19315123,110386925,2,0,2924.0,local,110397253
19206217,110382867,100,0,1000000.0,local,110397253
19021118,110392637,5,2,4956.0,local,110397253
19212140,110419724,1,0,2290.0,local,110397253
19121119,110407258,100,1,1000000.0,local,110397253
19122221,110412268,5,3,5273.0,local,110397253
19310115,110429434,4,1,2937.0,local,110397253
19315120,110386925,4,2,2636.0,local,110397253
19113113,110441857,4,3,3129.0,local,110397253
18810023,110396428,4,4,2860.0,local,110397253
19310222,110443301,0,0,2709.0,local,110397253
19316215,110421553,2,1,3269.0,local,110397253
18815060,110450104,0,1,2175.0,local,110397253
19308205,110413465,100,2,1000000.0,local,110397253
19120110,110407258,5,4,5133.0,local,110397253
19017118,312072227,3,1,4974.0,local,110397253
19313307,110421520,5,5,5490.0,local,110397253
18810035,110396428,4,5,2822.0,local,110397253
19102236,110398027,1,1,2688.0,local,110397253
18814062,110367725,4,6,3286.0,local,110397253
19203162,3401274918,5,6,5269.0,local,110397253
19110205,110412273,100,3,1000000.0,local,110397253
18814053,110437088,100,4,1000000.0,local,110397253
19205228,3367883696,100,5,1000000.0,local,110397253
19106123,110422635,1,2,2634.0,local,110397253
19022131,110388962,4,7,2842.0,local,110397253
19120212,110407258,2,2,2411.0,local,110397253
19309203,110386918,4,8,3310.0,local,110397253
19309219,110394015,100,6,1000000.0,local,110397253
19313311,110414599,0,2,1997.0,local,110397253
19103134,110438782,100,7,1000000.0,local,110397253
19308117,2481944221,4,9,2536.0,local,110397253
19209136,110401284,100,8,1000000.0,local,110397253
19205122,110382863,1,3,2800.0,local,110397253
19001209,110401311,5,7,6180.0,local,110397253
19017113,312072227,0,3,2733.0,local,110397253
19213211,110438785,2,3,3034.0,local,110397253
19021123,110392637,4,10,2911.0,local,110397253
19004136,110414475,3,2,5300.0,local,110397253
19016128,110456932,5,8,5996.0,local,110397253
19022132,110365447,4,11,3339.0,local,110397253
19205125,110401286,100,9,1000000.0,local,110397253
19227006,3401274918,100,10,1000000.0,local,110397253
19309218,110451170,100,11,1000000.0,local,110397253
19122224,110388967,3,3,5250.0,local,110397253
19316222,110445895,1,4,2317.0,local,110397253
19204133,110383612,3,4,4887.0,local,110397253
19211214,110456934,3,5,4747.0,local,110397253
19302052,110382886,5,9,5433.0,local,110397253
19313306,110421520,5,10,5390.0,local,110397253
19101135,110392622,5,11,6214.0,local,110397253
18815026,110393217,5,12,5901.0,local,110397253
18817043,110436759,3,6,4693.0,local,110397253
19128129,110441845,5,13,5715.0,local,110397253
19208115,110419724,4,12,3140.0,local,110397253
19308118,2481944221,4,13,2809.0,local,110397253
19013121,110381097,5,14,6033.0,local,110397253
19308211,2481944221,5,15,5813.0,local,110397253
19001210,110401311,2,4,3039.0,local,110397253
19307516,110393241,100,12,1000000.0,local,110397253
19110202,110388965,5,16,5754.0,local,110397253
19125119,110417193,2,5,3266.0,local,110397253
19008121,110412690,5,17,6072.0,local,110397253
19022230,110388962,2,6,2547.0,local,110397253
19221223,110383333,4,14,2486.0,local,110397253
19308115,2481944221,100,13,1000000.0,local,110397253
19216136,110383607,5,18,5879.0,local,110397253
19307511,110393241,3,7,5038.0,local,110397253
19223112,110419729,0,4,2489.0,local,110397253
19310203,110443299,3,8,4638.0,local,110397253
19101130,110392620,2,7,3237.0,local,110397253
19313316,110421540,0,5,2199.0,local,110397253
19210114,110401282,3,9,5102.0,local,110397253
19314225,1900719912,5,19,5940.0,local,110397253
19309228,110394015,100,14,1000000.0,local,110397253
19310102,110443299,4,15,2735.0,local,110397253
19220215,110383607,5,20,6537.0,local,110397253
19306105,110393241,0,6,2637.0,local,110397253
19310227,110443301,4,16,3247.0,local,110397253
19309222,110451170,5,21,6523.0,local,110397253
19301023,110450104,1,5,2063.0,local,110397253
19003206,110387957,1,6,2439.0,local,110397253
19014129,110398036,5,22,6293.0,local,110397253
19115120,110348621,5,23,5913.0,local,110397253
19004132,110381098,100,15,1000000.0,local,110397253
19006105,110447260,3,10,4902.0,local,110397253
19126125,110450446,5,24,6122.0,local,110397253
19222117,110392598,100,16,1000000.0,local,110397253
19313204,110421540,1,7,2060.0,local,110397253
18810027,110396428,5,25,6630.0,local,110397253
19314304,110402623,100,17,1000000.0,local,110397253
19023226,110392630,5,26,7160.0,local,110397253
18817019,3401274918,3,11,5033.0,local,110397253
19122223,110412268,0,7,1972.0,local,110397253
19127125,110454761,2,8,3111.0,local,110397253
19215116,110438784,0,8,2549.0,local,110397253
19101126,110392622,100,18,1000000.0,local,110397253
19315122,110366250,3,12,5044.0,local,110397253
18815084,110393217,5,27,6902.0,local,110397253
19212233,110419724,5,28,6163.0,local,110397253
19008140,312072227,100,19,1000000.0,local,110397253
18817048,110437088,2,9,3085.0,local,110397253
19223211,110460424,4,17,2764.0,local,110397253
19315121,110386925,100,20,1000000.0,local,110397253
19102239,110392617,4,18,3137.0,local,110397253
19212142,110383610,3,13,4622.0,local,110397253
19005242,3945189981,5,29,6264.0,local,110397253
19208119,110383612,2,10,3259.0,local,110397253
19008138,110348362,5,30,7269.0,local,110397253
18815088,110393217,3,14,4670.0,local,110397253
19220201,110383607,2,11,3126.0,local,110397253
19121115,110407258,3,15,5376.0,local,110397253
19007124,110455262,3,16,5237.0,local,110397253
18817041,110436759,100,21,1000000.0,local,110397253
19302026,110367804,3,17,4581.0,local,110397253
19211216,110459167,5,31,6809.0,local,110397253
19310116,110421520,4,19,3360.0,local,110397253
19308214,2481944221,5,32,6656.0,local,110397253
19210222,110401282,5,33,7301.0,local,110397253
19012217,110441918,3,18,4890.0,local,110397253
19015121,110435310,100,22,1000000.0,local,110397253
19308126,110413465,4,20,2870.0,local,110397253
19013127,110414480,3,19,4814.0,local,110397253
19104134,110422635,2,12,2889.0,local,110397253
19308221,2481944221,4,21,3216.0,local,110397253
19116126,110435295,4,22,2900.0,local,110397253
19317204,312078495,100,23,1000000.0,local,110397253
19108121,110443480,100,24,1000000.0,local,110397253
19313314,110414599,5,34,6478.0,local,110397253
19309220,110443301,5,35,6989.0,local,110397253
19216137,110383328,5,36,6886.0,local,110397253
19311214,110394015,5,37,7482.0,local,110397253
19313238,110445895,5,38,7337.0,local,110397253
18814074,110396428,100,25,1000000.0,local,110397253
19220121,110383331,5,39,7509.0,local,110397253
19221220,110383331,0,9,2567.0,local,110397253
19106115,110422635,5,40,6872.0,local,110397253
18815067,110393217,5,41,7039.0,local,110397253
19314109,110402623,5,42,6999.0,local,110397253
19309217,110451170,4,23,3036.0,local,110397253
19316220,110445895,5,43,7066.0,local,110397253
19115214,110348621,4,24,3010.0,local,110397253
19226203,110410670,100,26,1000000.0,local,110397253
19203154,110358680,100,27,1000000.0,local,110397253
19119215,110455254,100,28,1000000.0,local,110397253
19108111,110443480,5,44,7790.0,local,110397253
18814068,110367725,5,45,7956.0,local,110397253
19312131,110451170,3,20,5230.0,local,110397253
18814057,110367728,100,29,1000000.0,local,110397253
19016124,110438781,5,46,6999.0,local,110397253
19117216,110392614,3,21,5377.0,local,110397253
19207123,110401288,100,30,1000000.0,local,110397253
19312133,110451170,0,10,2477.0,local,110397253
19018118,110365447,5,47,7021.0,local,110397253
18815078,110393217,5,48,7602.0,local,110397253
19113216,110450448,2,13,2501.0,local,110397253
18814054,110367728,5,49,7108.0,local,110397253
19225107,110454526,0,11,2769.0,local,110397253
19021121,110392637,5,50,7298.0,local,110397253
18817042,110436759,2,14,2685.0,local,110397253
19307201,110393241,3,22,5398.0,local,110397253
18815090,110450104,2,15,3040.0,local,110397253
19219228,110392609,4,25,3165.0,local,110397253
