parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19120214,110417190,1,0,2087.0,local,110397253
19212130,110419724,100,0,1000000.0,local,110397253
19216230,110383610,2,0,2656.0,local,110397253
19004240,110348323,5,0,4989.0,local,110397253
19120110,110407258,100,1,1000000.0,local,110397253
19207226,110456932,100,2,1000000.0,local,110397253
19015212,110398036,1,1,2649.0,local,110397253
19003128,110441915,4,0,2973.0,local,110397253
19220129,110372172,5,1,5191.0,local,110397253
19017119,312072227,4,1,2735.0,local,110397253
19310201,110350999,0,0,2464.0,local,110397253
19126125,110450446,4,2,2749.0,local,110397253
19213131,110438785,5,2,5094.0,local,110397253
19314105,110402623,3,0,5091.0,local,110397253
19005233,3945189981,3,1,4998.0,local,110397253
19213234,110383328,3,2,4747.0,local,110397253
19312101,110386918,4,3,3201.0,local,110397253
19009209,110348362,100,3,1000000.0,local,110397253
18810040,110396428,2,1,2948.0,local,110397253
19016223,110447261,4,4,2472.0,local,110397253
19206221,110401284,4,5,2785.0,local,110397253
19108114,110412273,5,3,5004.0,local,110397253
19216128,110383607,5,4,5664.0,local,110397253
19206224,110382863,2,2,3143.0,local,110397253
19115215,110348621,5,5,5373.0,local,110397253
18817053,3387083171,5,6,5425.0,local,110397253
19314101,110421520,4,6,3336.0,local,110397253
19205124,110382863,100,4,1000000.0,local,110397253
19316223,110445895,5,7,6016.0,local,110397253
18818001,110393217,4,7,3236.0,local,110397253
18815071,110450104,3,3,5270.0,local,110397253
19208118,110383326,100,5,1000000.0,local,110397253
19209225,110401286,5,8,5941.0,local,110397253
19116126,110435295,100,6,1000000.0,local,110397253
19310222,110443301,5,9,5740.0,local,110397253
19101130,110392620,4,8,2539.0,local,110397253
19115117,110348621,100,7,1000000.0,local,110397253
19312133,110451170,5,10,5837.0,local,110397253
19123120,110388967,3,4,5292.0,local,110397253
19007121,110455262,2,3,3143.0,local,110397253
19312131,110451170,3,5,4661.0,local,110397253
19103210,110392611,5,11,5567.0,local,110397253
18814072,110393217,5,12,5272.0,local,110397253
18815074,110393217,5,13,5381.0,local,110397253
19217133,110392602,4,9,2491.0,local,110397253
19311402,110443304,100,8,1000000.0,local,110397253
18817052,3387083166,5,14,6036.0,local,110397253
19308113,2481944221,1,2,2579.0,local,110397253
19003129,110348323,4,10,3237.0,local,110397253
19023114,110388962,5,15,6326.0,local,110397253
19005236,110381098,2,4,2417.0,local,110397253
19121115,110407258,100,9,1000000.0,local,110397253
19302052,110382886,100,10,1000000.0,local,110397253
19110110,110450448,3,6,5369.0,local,110397253
19217225,110438785,100,11,1000000.0,local,110397253
18815064,110437088,3,7,5410.0,local,110397253
19307412,110351008,1,3,2490.0,local,110397253
19207122,110456934,5,16,6123.0,local,110397253
19014130,110421910,3,8,4890.0,local,110397253
19119115,110455254,100,12,1000000.0,local,110397253
19314303,110443304,1,4,2653.0,local,110397253
19119215,110455254,4,11,3283.0,local,110397253
19008140,312072227,5,17,6116.0,local,110397253
19124127,110450446,3,9,5319.0,local,110397253
19214205,110410673,3,10,4936.0,local,110397253
19312142,110451170,4,12,2570.0,local,110397253
19314115,110443304,5,18,5801.0,local,110397253
18815020,110393217,4,13,2476.0,local,110397253
19314305,110443304,3,11,5021.0,local,110397253
19205201,110382860,4,14,3077.0,local,110397253
19017113,312072227,100,13,1000000.0,local,110397253
19017109,312072227,100,14,1000000.0,local,110397253
19224110,110372172,5,19,6501.0,local,110397253
19226206,110410670,5,20,6307.0,local,110397253
19312119,110451170,5,21,6105.0,local,110397253
19217226,110438785,1,5,2081.0,local,110397253
19112116,110450444,5,22,5921.0,local,110397253
19207118,110456934,2,5,2692.0,local,110397253
19018118,110365447,5,23,6229.0,local,110397253
19204246,110358680,5,24,6351.0,local,110397253
19219225,110460424,2,6,2716.0,local,110397253
19223218,110460424,5,25,6679.0,local,110397253
19015121,110435310,100,15,1000000.0,local,110397253
19308123,110386918,3,12,5323.0,local,110397253
19225211,110457890,0,1,2713.0,local,110397253
19128120,110417190,100,16,1000000.0,local,110397253
18814071,110396428,4,15,3009.0,local,110397253
19226203,110410670,5,26,6825.0,local,110397253
