parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
18814072,110393217,2,0,2779.0,local,110360959
19314224,110366250,2,1,2781.0,local,110360959
19221219,110392602,4,0,2894.0,local,110397253
19015212,110398036,4,1,3265.0,local,110397253
19112217,110392625,4,2,2631.0,local,110397253
19308206,110413465,2,2,2981.0,local,110397253
19221220,110383331,2,3,2493.0,local,110397253
19216230,110383610,3,0,4817.0,local,110397253
19213132,110438785,5,0,5643.0,local,110360959
19007124,110455262,5,1,5496.0,local,110360959
19113113,110441857,4,3,2710.0,local,110360959
19309220,110443301,4,4,2993.0,local,110397253
19012218,110441915,4,5,2576.0,local,110360959
18815064,110437088,0,0,2530.0,local,110360959
19104134,110422635,4,6,3154.0,local,110397253
19115117,110348621,1,0,2784.0,local,110360959
18815060,110450104,0,1,2132.0,local,110360959
19307511,110393241,3,1,4818.0,local,110397253
19223103,110419729,0,2,1911.0,local,110360959
19208234,110419724,0,3,1896.0,local,110397253
19307208,110393241,3,2,4732.0,local,110360959
19313228,110445895,4,7,2455.0,local,110360959
19103210,110392611,100,0,1000000.0,local,110360959
18817040,110382760,3,3,4873.0,local,110360959
19013127,110414480,100,1,1000000.0,local,110360959
19310103,110443299,2,4,2719.0,local,110397253
19101138,110398027,2,5,2499.0,local,110360959
19308137,2481944221,4,8,2606.0,local,110397253
19302041,110382886,5,2,5718.0,local,110360959
19308222,2481944221,4,9,2618.0,local,110397253
19204237,110358680,2,6,3269.0,local,110360959
19310203,110443299,5,3,5519.0,local,110397253
19309219,110394015,4,10,3012.0,local,110397253
19303034,110421555,2,7,2886.0,local,110360959
19213233,110383328,4,11,2511.0,local,110397253
19310212,110443304,4,12,2922.0,local,110397253
19022131,110388962,4,13,3181.0,local,110360959
19015202,110435310,100,2,1000000.0,local,110360959
19014220,110421910,3,4,5203.0,local,110360959
19112115,110366323,100,3,1000000.0,local,110360959
19216136,110383607,2,8,2783.0,local,110397253
19309203,110386918,3,5,5035.0,local,110397253
19210218,110401284,3,6,4668.0,local,110397253
19205227,110383326,3,7,4612.0,local,110397253
19124127,110450446,4,14,2669.0,local,110360959
19106123,110422635,100,4,1000000.0,local,110360959
19119116,110455254,100,5,1000000.0,local,110360959
19013121,110381097,3,8,5054.0,local,110397253
19302050,110367827,2,9,2533.0,local,110360959
19125120,110417193,3,9,5352.0,local,110397253
18815022,110393217,2,10,3152.0,local,110397253
19219228,110392609,4,15,3394.0,local,110397253
19021123,110392637,2,11,3281.0,local,110397253
19313316,110421540,3,10,4936.0,local,110397253
19205232,3367883696,2,12,3079.0,local,110397253
19209227,110401286,0,4,2000.0,local,110360959
19308126,110413465,4,16,3043.0,local,110397253
19313236,110414599,4,17,2499.0,local,110360959
19303012,110381021,4,18,2742.0,local,110360959
19023232,110366323,100,6,1000000.0,local,110360959
19205202,110382860,3,11,4944.0,local,110360959
19004133,110381097,2,13,2427.0,local,110397253
18814060,110367728,2,14,2663.0,local,110397253
19016224,110438781,3,12,5253.0,local,110360959
19215116,110438784,2,15,2485.0,local,110360959
19216228,110392604,3,13,4626.0,local,110397253
19313315,110421540,1,1,2429.0,local,110360959
19220223,110372172,4,19,3199.0,local,110397253
18815083,110393217,0,5,2078.0,local,110360959
19313214,110421553,3,14,4678.0,local,110360959
