parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19308129,2481944221,3,0,5292.0,local,110397253
19017109,312072227,4,0,2868.0,local,110360959
19311213,110386925,4,1,2429.0,local,110397253
19119116,110455254,3,1,5360.0,local,110397253
19315123,110386925,2,0,2497.0,local,110360959
19206217,110382867,5,0,5059.0,local,110360959
19021118,110392637,4,2,2820.0,local,110397253
19212140,110419724,1,0,2139.0,local,110397253
19121119,110407258,100,0,1000000.0,local,110360959
19122221,110412268,3,2,5032.0,local,110360959
19310115,110429434,3,3,4722.0,local,110397253
19315120,110386925,3,4,5211.0,local,110360959
19113113,110441857,3,5,4949.0,local,110360959
18810023,110396428,3,6,5355.0,local,110360959
19310222,110443301,0,0,2507.0,local,110397253
19316215,110421553,2,1,2715.0,local,110397253
18815060,110450104,0,1,2099.0,local,110360959
19308205,110413465,100,1,1000000.0,local,110397253
19120110,110407258,4,3,2884.0,local,110360959
19017118,312072227,3,7,5162.0,local,110397253
19313307,110421520,4,4,2818.0,local,110360959
18810035,110396428,3,8,5386.0,local,110360959
19102236,110398027,1,1,1933.0,local,110360959
18814062,110367725,3,9,4742.0,local,110360959
19203162,3401274918,4,5,3145.0,local,110397253
19110205,110412273,100,2,1000000.0,local,110397253
18814053,110437088,4,6,2925.0,local,110397253
19205228,3367883696,100,3,1000000.0,local,110397253
19106123,110422635,1,2,1934.0,local,110360959
19022131,110388962,3,10,4590.0,local,110360959
19120212,110407258,2,2,3248.0,local,110360959
19309203,110386918,3,11,4681.0,local,110360959
19309219,110394015,100,4,1000000.0,local,110397253
19313311,110414599,0,2,2739.0,local,110397253
19103134,110438782,5,1,5293.0,local,110360959
19308117,2481944221,3,12,5218.0,local,110397253
19209136,110401284,100,5,1000000.0,local,110397253
19205122,110382863,1,3,2554.0,local,110397253
19001209,110401311,4,7,2897.0,local,110397253
19017113,312072227,0,3,2658.0,local,110360959
19213211,110438785,2,3,3085.0,local,110360959
19021123,110392637,3,13,5371.0,local,110360959
19004136,110414475,2,4,3146.0,local,110360959
19016128,110456932,3,14,4916.0,local,110397253
19022132,110365447,3,15,4899.0,local,110360959
19205125,110401286,100,6,1000000.0,local,110360959
19227006,3401274918,100,7,1000000.0,local,110360959
19309218,110451170,5,2,5092.0,local,110360959
19122224,110388967,2,5,2435.0,local,110397253
19316222,110445895,1,4,2023.0,local,110397253
19204133,110383612,2,6,3300.0,local,110397253
19211214,110456934,2,7,2928.0,local,110397253
19302052,110382886,3,16,4703.0,local,110397253
19313306,110421520,4,8,2698.0,local,110360959
19101135,110392622,4,9,3121.0,local,110397253
18815026,110393217,4,10,2795.0,local,110397253
18817043,110436759,2,8,3018.0,local,110397253
19128129,110441845,4,11,2899.0,local,110397253
19208115,110419724,3,17,5163.0,local,110360959
19308118,2481944221,3,18,4769.0,local,110360959
19013121,110381097,4,12,3341.0,local,110397253
19308211,2481944221,4,13,3029.0,local,110360959
19001210,110401311,2,9,2545.0,local,110360959
19307516,110393241,100,8,1000000.0,local,110397253
19110202,110388965,4,14,2486.0,local,110397253
19125119,110417193,2,10,2795.0,local,110360959
19008121,110412690,4,15,2980.0,local,110360959
19022230,110388962,2,11,3030.0,local,110360959
19221223,110383333,3,19,4647.0,local,110397253
19308115,2481944221,5,3,5705.0,local,110397253
19216136,110383607,3,20,4877.0,local,110360959
19307511,110393241,2,12,2988.0,local,110397253
19223112,110419729,0,4,2366.0,local,110360959
19310203,110443299,3,21,4791.0,local,110397253
19101130,110392620,2,13,3253.0,local,110397253
19313316,110421540,0,5,2636.0,local,110360959
19210114,110401282,2,14,3141.0,local,110360959
19314225,1900719912,3,22,5256.0,local,110360959
19309228,110394015,5,4,5424.0,local,110360959
19310102,110443299,3,23,5061.0,local,110360959
19220215,110383607,4,16,2988.0,local,110360959
19306105,110393241,0,6,1958.0,local,110360959
19310227,110443301,3,24,4914.0,local,110397253
19309222,110451170,4,17,2834.0,local,110397253
19301023,110450104,1,5,2059.0,local,110397253
19003206,110387957,1,6,2453.0,local,110360959
19014129,110398036,4,18,2898.0,local,110360959
19115120,110348621,4,19,3011.0,local,110360959
19004132,110381098,100,9,1000000.0,local,110397253
19006105,110447260,2,15,2513.0,local,110397253
19126125,110450446,4,20,3221.0,local,110360959
19222117,110392598,5,5,5733.0,local,110360959
19313204,110421540,1,7,2441.0,local,110360959
18810027,110396428,4,21,3109.0,local,110360959
19314304,110402623,4,22,2548.0,local,110397253
19023226,110392630,4,23,3238.0,local,110397253
18817019,3401274918,3,25,4812.0,local,110360959
19122223,110412268,0,7,2476.0,local,110397253
19127125,110454761,2,16,2498.0,local,110397253
19215116,110438784,0,8,2163.0,local,110360959
19101126,110392622,5,6,5885.0,local,110397253
19315122,110366250,3,26,5298.0,local,110360959
18815084,110393217,4,24,2653.0,local,110397253
19212233,110419724,4,25,3268.0,local,110397253
19008140,312072227,4,26,3360.0,local,110360959
18817048,110437088,2,17,3099.0,local,110360959
19223211,110460424,3,27,4582.0,local,110397253
19315121,110386925,100,10,1000000.0,local,110397253
19102239,110392617,3,28,5172.0,local,110397253
19212142,110383610,3,29,5412.0,local,110397253
19005242,3945189981,4,27,2853.0,local,110397253
19208119,110383612,2,18,3188.0,local,110360959
19008138,110348362,4,28,2863.0,local,110397253
18815088,110393217,2,19,2769.0,local,110360959
19220201,110383607,2,20,2655.0,local,110360959
19121115,110407258,2,21,2888.0,local,110397253
19007124,110455262,3,30,5251.0,local,110397253
18817041,110436759,100,11,1000000.0,local,110360959
19302026,110367804,2,22,2749.0,local,110360959
19211216,110459167,4,29,2804.0,local,110397253
19310116,110421520,3,31,5272.0,local,110360959
19308214,2481944221,4,30,2896.0,local,110397253
19210222,110401282,4,31,3214.0,local,110360959
