parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19120213,110407256,3,0,4693.0,local,110397253
19204248,110401288,100,0,1000000.0,local,110397253
19529014,110367804,2,0,2835.0,local,110360959
19310115,110429434,4,0,2800.0,local,110397253
19223103,110419729,4,1,2731.0,local,110360959
19006114,110435305,3,1,4693.0,local,110360959
19008139,110348362,3,2,4644.0,local,110360959
19227005,3401274918,100,1,1000000.0,local,110360959
19011127,5071533350,1,0,2555.0,local,110397253
19307412,110351008,3,3,5355.0,local,110360959
19217134,110392602,4,2,2854.0,local,110360959
19310212,110443304,3,4,4878.0,local,110360959
19204134,3367883696,2,1,2788.0,local,110397253
19004240,110348323,3,5,4744.0,local,110360959
19015202,110435310,2,2,3117.0,local,110360959
19006217,110398036,2,3,3172.0,local,110397253
18810036,110396428,4,3,3168.0,local,110360959
19112217,110392625,3,6,4773.0,local,110397253
19315123,110386925,5,0,4912.0,local,110397253
19001210,110401311,4,4,2882.0,local,110397253
18817052,3387083166,100,2,1000000.0,local,110397253
19211214,110456934,100,3,1000000.0,local,110360959
19215116,110438784,100,4,1000000.0,local,110397253
19213233,110383328,2,4,3117.0,local,110360959
19310202,110443299,3,7,4570.0,local,110397253
19004134,110414478,3,8,5049.0,local,110360959
19216134,110383607,100,5,1000000.0,local,110397253
19317204,312078495,4,5,3267.0,local,110397253
19127124,110441845,1,1,2463.0,local,110397253
18815026,110393217,3,9,4910.0,local,110360959
19016124,110438781,2,5,2518.0,local,110397253
19206217,110382867,0,0,2748.0,local,110360959
19128124,110407258,4,6,3319.0,local,110360959
19308211,2481944221,100,6,1000000.0,local,110397253
19122224,110388967,4,7,2743.0,local,110397253
19004137,110414475,4,8,2575.0,local,110360959
19310102,110443299,4,9,2497.0,local,110360959
19208119,110383612,4,10,3125.0,local,110360959
18814053,110437088,2,6,2420.0,local,110360959
19308115,2481944221,2,7,2728.0,local,110397253
19022230,110388962,2,8,3041.0,local,110360959
19126121,110441845,2,9,3066.0,local,110397253
19205124,110382863,4,11,3288.0,local,110360959
19218130,110410673,2,10,2625.0,local,110397253
18814074,110396428,3,10,4945.0,local,110397253
19113113,110441857,1,2,2679.0,local,110397253
19213211,110438785,4,12,3309.0,local,110397253
19226203,110410670,1,3,1949.0,local,110360959
19121119,110407258,2,11,2703.0,local,110397253
19210114,110401282,2,12,3290.0,local,110397253
19016109,110460422,3,11,4957.0,local,110397253
19022221,110392632,5,1,4845.0,local,110397253
19226206,110410670,2,13,2520.0,local,110397253
19313311,110414599,2,14,2620.0,local,110360959
18814050,110367728,4,13,3375.0,local,110360959
19003309,110387946,0,1,1939.0,local,110397253
19017109,312072227,4,14,2569.0,local,110397253
18817019,3401274918,3,12,5208.0,local,110360959
19308129,2481944221,100,7,1000000.0,local,110360959
19314117,110443304,2,15,2735.0,local,110360959
19316226,110445895,4,15,3277.0,local,110397253
19213210,110438785,3,13,5184.0,local,110397253
19218120,110392598,2,16,2471.0,local,110397253
19222224,110392598,3,14,4761.0,local,110360959
19308113,2481944221,4,16,3363.0,local,110360959
19205125,110401286,100,8,1000000.0,local,110360959
19316222,110445895,4,17,2640.0,local,110397253
19203154,110358680,4,18,2589.0,local,110397253
19008138,110348362,100,9,1000000.0,local,110397253
19314115,110443304,3,15,4701.0,local,110360959
19207122,110456934,3,16,5118.0,local,110397253
19209226,110383326,2,17,2588.0,local,110397253
19003206,110387957,4,19,3004.0,local,110360959
19022223,110392632,4,20,2756.0,local,110360959
19016223,110447261,4,21,2768.0,local,110360959
19316201,110445895,4,22,2555.0,local,110360959
19221224,110383331,4,23,2896.0,local,110397253
19308222,2481944221,2,18,3043.0,local,110397253
19115215,110348621,5,2,5096.0,local,110397253
19307203,110393241,2,19,3272.0,local,110360959
19308207,110413465,2,20,2758.0,local,110360959
19003128,110441915,3,17,5223.0,local,110360959
19313238,110445895,4,24,2935.0,local,110360959
19316220,110445895,4,25,3346.0,local,110360959
19313318,110414599,4,26,3303.0,local,110397253
19308205,110413465,5,3,4852.0,local,110360959
19210218,110401284,1,4,2019.0,local,110360959
19308117,2481944221,2,21,2798.0,local,110397253
19018127,5071533356,3,18,4787.0,local,110360959
19313307,110421520,3,19,4942.0,local,110360959
19314224,110366250,100,10,1000000.0,local,110397253
19227001,3401274918,4,27,3206.0,local,110360959
19213132,110438785,2,22,3164.0,local,110397253
19311402,110443304,2,23,3010.0,local,110397253
19316223,110445895,1,5,2042.0,local,110360959
19312101,110386918,4,28,2742.0,local,110397253
19017113,312072227,2,24,3032.0,local,110360959
19212134,110383610,2,25,2569.0,local,110360959
19310203,110443299,0,2,2302.0,local,110360959
19106123,110422635,4,29,2896.0,local,110397253
19209136,110401284,1,6,1937.0,local,110360959
19120110,110407258,2,26,3286.0,local,110397253
19303037,110414616,3,20,4880.0,local,110360959
19313201,110414599,3,21,4803.0,local,110360959
19214120,110410673,4,30,3324.0,local,110397253
19119205,110461566,2,27,3271.0,local,110360959
19317218,110421555,2,28,2687.0,local,110397253
19310227,110443301,1,7,1926.0,local,110397253
19103131,110392611,0,3,2384.0,local,110397253
19209228,110401286,3,22,5251.0,local,110397253
19309217,110451170,4,31,2930.0,local,110360959
19310222,110443301,0,4,2442.0,local,110397253
19003310,110387967,3,23,5030.0,local,110397253
18818001,110393217,4,32,3070.0,local,110360959
19007121,110455262,4,33,2585.0,local,110360959
19023226,110392630,4,34,3384.0,local,110397253
19308112,2481944221,100,11,1000000.0,local,110360959
19210223,110401282,4,35,2751.0,local,110397253
19119116,110455254,0,5,2377.0,local,110397253
19220201,110383607,0,6,2618.0,local,110397253
18815062,110437088,3,24,5254.0,local,110360959
19013229,110441918,4,36,3004.0,local,110397253
19222117,110392598,5,4,4897.0,local,110397253
19307208,110393241,4,37,2691.0,local,110397253
19118217,110392609,5,5,5107.0,local,110397253
19221225,110392602,4,38,3561.0,local,110360959
18815022,110393217,4,39,3127.0,local,110360959
19215241,110392609,4,40,2934.0,local,110360959
19108114,110412273,0,7,2494.0,local,110397253
19216136,110383607,0,8,2678.0,local,110397253
19014221,110421909,3,25,5005.0,local,110360959
19016224,110438781,3,26,4798.0,local,110397253
19308206,110413465,5,6,5533.0,local,110360959
19204123,3367883696,100,12,1000000.0,local,110397253
19112114,110450444,4,41,3068.0,local,110360959
19220124,110372172,4,42,3270.0,local,110397253
19210226,110401282,4,43,3355.0,local,110397253
19117208,110392614,4,44,2767.0,local,110397253
19308123,110386918,2,29,3254.0,local,110360959
19003130,110348357,3,27,4968.0,local,110360959
19313316,110421540,3,28,5342.0,local,110397253
19207118,110456934,100,13,1000000.0,local,110397253
19311302,110386925,100,14,1000000.0,local,110360959
19224110,110372172,3,29,4586.0,local,110360959
19313315,110421540,1,8,2484.0,local,110397253
19219118,110392604,4,45,3351.0,local,110360959
19310116,110421520,0,9,2038.0,local,110360959
19204235,110401288,100,15,1000000.0,local,110360959
19313326,110414599,1,9,2435.0,local,110397253
19119215,110455254,1,10,2798.0,local,110397253
19008122,110412690,3,30,4945.0,local,110360959
19221210,110383333,0,10,2741.0,local,110397253
18815080,110393217,5,7,6031.0,local,110360959
19310213,110443304,1,11,2045.0,local,110397253
19223211,110460424,3,31,4702.0,local,110360959
19312117,110451170,2,30,2519.0,local,110397253
19314304,110402623,2,31,3016.0,local,110360959
18814057,110367728,4,46,2931.0,local,110397253
19205202,110382860,2,32,2927.0,local,110360959
19002109,110392834,0,11,2466.0,local,110397253
19307510,110393241,4,47,2901.0,local,110360959
19209127,110401286,4,48,3509.0,local,110360959
19014129,110398036,4,49,3198.0,local,110360959
19014220,110421910,1,12,2203.0,local,110360959
19211216,110459167,1,13,2196.0,local,110360959
19311111,110394015,4,50,2874.0,local,110397253
19205228,3367883696,3,32,5147.0,local,110360959
19113114,110441857,4,51,3131.0,local,110360959
18814012,110437088,100,16,1000000.0,local,110397253
19125119,110417193,3,33,4996.0,local,110397253
19115120,110348621,4,52,2906.0,local,110360959
19307506,110350999,4,53,3115.0,local,110397253
19307517,110443298,2,33,3108.0,local,110397253
19117217,110392614,100,17,1000000.0,local,110360959
18810027,110396428,2,34,3046.0,local,110360959
19313314,110414599,3,34,5449.0,local,110397253
19104116,110422635,4,54,2743.0,local,110397253
19223215,110459170,2,35,2810.0,local,110360959
19004135,110414475,0,12,2414.0,local,110397253
19529015,110393217,2,36,2702.0,local,110397253
18814054,110367728,100,18,1000000.0,local,110397253
