parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19120214,110417190,1,0,2087.0,local,110397253
19212130,110419724,4,0,2656.0,local,110360959
19216230,110383610,2,0,2589.0,local,110397253
19004240,110348323,4,1,3129.0,local,110360959
19120110,110407258,5,0,5373.0,local,110397253
19207226,110456932,100,0,1000000.0,local,110360959
19015212,110398036,1,1,2299.0,local,110360959
19003128,110441915,3,0,4823.0,local,110360959
19220129,110372172,4,2,3206.0,local,110397253
19017119,312072227,3,1,4911.0,local,110397253
19310201,110350999,0,0,1870.0,local,110360959
19126125,110450446,3,2,5002.0,local,110360959
19213131,110438785,3,3,4997.0,local,110397253
19314105,110402623,2,1,2722.0,local,110360959
19005233,3945189981,2,2,3177.0,local,110397253
19213234,110383328,3,4,5053.0,local,110360959
19312101,110386918,3,5,5266.0,local,110360959
19009209,110348362,4,3,2771.0,local,110360959
18810040,110396428,2,3,2997.0,local,110397253
19016223,110447261,3,6,5252.0,local,110397253
19206221,110401284,3,7,4930.0,local,110360959
19108114,110412273,4,4,2917.0,local,110397253
19216128,110383607,4,5,3330.0,local,110360959
19206224,110382863,2,4,3174.0,local,110360959
19115215,110348621,4,6,3230.0,local,110360959
18817053,3387083171,4,7,3217.0,local,110397253
19314101,110421520,3,8,5380.0,local,110397253
19205124,110382863,4,8,2914.0,local,110397253
19316223,110445895,3,9,4607.0,local,110397253
18818001,110393217,3,10,4990.0,local,110397253
18815071,110450104,3,11,5299.0,local,110397253
19208118,110383326,4,9,3174.0,local,110360959
19209225,110401286,4,10,2605.0,local,110360959
19116126,110435295,4,11,2635.0,local,110360959
19310222,110443301,3,12,4641.0,local,110360959
19101130,110392620,3,13,4565.0,local,110397253
19115117,110348621,100,1,1000000.0,local,110397253
19312133,110451170,4,12,2508.0,local,110397253
19123120,110388967,2,5,2656.0,local,110397253
19007121,110455262,2,6,3060.0,local,110360959
19312131,110451170,3,14,5314.0,local,110397253
19103210,110392611,4,13,3211.0,local,110360959
18814072,110393217,4,14,2513.0,local,110360959
18815074,110393217,4,15,3371.0,local,110360959
19217133,110392602,3,15,5415.0,local,110397253
19311402,110443304,5,1,5429.0,local,110397253
18817052,3387083166,4,16,2916.0,local,110397253
19308113,2481944221,1,2,2772.0,local,110397253
19003129,110348323,3,16,5267.0,local,110360959
19023114,110388962,4,17,2998.0,local,110360959
19005236,110381098,2,7,2801.0,local,110360959
19121115,110407258,5,2,5658.0,local,110397253
19302052,110382886,100,2,1000000.0,local,110397253
19110110,110450448,3,17,4655.0,local,110360959
19217225,110438785,100,3,1000000.0,local,110360959
18815064,110437088,3,18,5098.0,local,110360959
19307412,110351008,1,3,2162.0,local,110360959
19207122,110456934,4,18,3140.0,local,110397253
19014130,110421910,2,8,3056.0,local,110360959
19119115,110455254,100,4,1000000.0,local,110360959
19314303,110443304,1,4,2593.0,local,110360959
19119215,110455254,3,19,5403.0,local,110360959
19008140,312072227,4,19,3299.0,local,110397253
19124127,110450446,2,9,3146.0,local,110397253
19214205,110410673,2,10,3073.0,local,110360959
19312142,110451170,3,20,5182.0,local,110397253
19314115,110443304,4,20,2989.0,local,110360959
18815020,110393217,3,21,5222.0,local,110397253
19314305,110443304,2,11,2457.0,local,110360959
19205201,110382860,3,22,4789.0,local,110360959
19017113,312072227,100,5,1000000.0,local,110360959
19017109,312072227,100,6,1000000.0,local,110360959
19224110,110372172,4,21,3182.0,local,110397253
19226206,110410670,4,22,2839.0,local,110360959
19312119,110451170,4,23,3196.0,local,110397253
19217226,110438785,1,5,2674.0,local,110360959
19112116,110450444,4,24,3268.0,local,110360959
19207118,110456934,2,12,2804.0,local,110397253
19018118,110365447,4,25,2774.0,local,110397253
19204246,110358680,4,26,3161.0,local,110397253
19219225,110460424,2,13,2841.0,local,110397253
19223218,110460424,4,27,2819.0,local,110360959
19015121,110435310,4,28,2723.0,local,110397253
19308123,110386918,3,23,5056.0,local,110360959
19225211,110457890,0,1,2204.0,local,110397253
19128120,110417190,100,7,1000000.0,local,110397253
18814071,110396428,3,24,5252.0,local,110360959
19226203,110410670,4,29,2830.0,local,110397253
19004134,110414478,3,25,5246.0,local,110397253
19016128,110456932,0,2,2740.0,local,110397253
19001205,110392830,0,3,2591.0,local,110397253
19217134,110392602,2,14,2518.0,local,110397253
19212129,110383610,4,30,3106.0,local,110360959
19017120,312072227,3,26,4931.0,local,110360959
19211216,110459167,100,8,1000000.0,local,110360959
19313339,110421520,5,3,5768.0,local,110397253
19310227,110443301,2,15,2673.0,local,110360959
19316227,312078495,3,27,4951.0,local,110360959
19308132,2481944221,4,31,3470.0,local,110397253
19310103,110443299,2,16,2687.0,local,110397253
19313204,110421540,4,32,3456.0,local,110397253
19208236,110419724,3,28,4763.0,local,110360959
19308214,2481944221,2,17,2966.0,local,110360959
19308207,110413465,2,18,2451.0,local,110397253
19023232,110366323,3,29,4750.0,local,110397253
19313340,110421520,100,9,1000000.0,local,110397253
19107118,110427102,3,30,5234.0,local,110360959
18815090,110450104,4,33,3154.0,local,110397253
19103234,110461563,4,34,3274.0,local,110397253
19226207,110454526,4,35,2764.0,local,110360959
19220223,110372172,4,36,2936.0,local,110360959
19308211,2481944221,4,37,2763.0,local,110397253
19317105,110381021,4,38,3346.0,local,110397253
19203155,3401274918,3,31,4728.0,local,110360959
18810013,110396428,5,4,5061.0,local,110360959
19012218,110441915,4,39,2713.0,local,110397253
19314224,110366250,4,40,3138.0,local,110360959
19209224,110401286,4,41,3017.0,local,110397253
19219122,110392604,4,42,2713.0,local,110360959
19204135,3367883696,2,19,3138.0,local,110397253
19309228,110394015,4,43,2938.0,local,110360959
19313225,110421553,3,32,5251.0,local,110360959
19223112,110419729,2,20,3055.0,local,110360959
19314306,110443304,5,5,4958.0,local,110360959
19102239,110392617,2,21,3022.0,local,110397253
19316220,110445895,4,44,2704.0,local,110397253
19022123,110365449,1,6,2645.0,local,110397253
19007133,110401292,0,4,2215.0,local,110360959
18810019,110396428,4,45,3264.0,local,110360959
18817048,110437088,4,46,2947.0,local,110360959
19221219,110392602,1,7,2460.0,local,110360959
19307513,110393241,100,10,1000000.0,local,110360959
19210223,110401282,0,5,2200.0,local,110360959
19212233,110419724,4,47,3328.0,local,110397253
19213132,110438785,4,48,3390.0,local,110397253
19313226,110421553,4,49,3263.0,local,110360959
19119218,110392614,3,33,4735.0,local,110397253
19113114,110441857,4,50,3053.0,local,110360959
19302025,110382886,3,34,5407.0,local,110360959
19213229,110383328,4,51,2861.0,local,110397253
19308137,2481944221,100,11,1000000.0,local,110360959
19212134,110383610,4,52,3345.0,local,110360959
19205202,110382860,100,12,1000000.0,local,110397253
19313313,110414599,0,6,2754.0,local,110360959
18814035,973221268,4,53,3379.0,local,110397253
19012109,110348357,3,35,4695.0,local,110360959
19101138,110398027,100,13,1000000.0,local,110397253
19004133,110381097,5,6,5386.0,local,110360959
19126124,110450446,3,36,5201.0,local,110360959
19213210,110438785,4,54,2819.0,local,110397253
19310226,110443304,4,55,2761.0,local,110360959
18815067,110393217,3,37,4956.0,local,110397253
19021118,110392637,2,22,2634.0,local,110397253
19313326,110414599,4,56,3134.0,local,110397253
19106115,110422635,3,38,5062.0,local,110397253
19208115,110419724,4,57,3123.0,local,110360959
19307518,110443298,3,39,4832.0,local,110397253
19313215,110421553,1,8,2349.0,local,110360959
19316221,110445895,2,23,2559.0,local,110360959
19011125,5071533356,3,40,4842.0,local,110360959
19115217,110392620,0,7,2142.0,local,110360959
19008139,110348362,4,58,3032.0,local,110397253
19206220,110401282,2,24,3078.0,local,110397253
19303034,110421555,0,8,2449.0,local,110360959
19103238,110461563,100,14,1000000.0,local,110360959
19310203,110443299,1,9,2507.0,local,110397253
19126121,110441845,2,25,2807.0,local,110360959
19215121,110438784,3,41,5006.0,local,110360959
19118217,110392609,1,10,2493.0,local,110360959
19308215,110413465,4,59,3319.0,local,110360959
19316226,110445895,1,11,2049.0,local,110397253
19221212,110392602,5,7,5310.0,local,110360959
19021121,110392637,4,60,3548.0,local,110397253
19014221,110421909,2,26,2459.0,local,110360959
19311304,110394015,1,12,2671.0,local,110397253
19122219,110388967,3,42,5344.0,local,110360959
19312141,110386918,4,61,2878.0,local,110397253
18815062,110437088,3,43,4628.0,local,110397253
19315121,110386925,4,62,3636.0,local,110397253
19317214,110381017,2,27,2761.0,local,110397253
19214117,110410673,1,13,2365.0,local,110360959
19310219,110443301,4,63,3066.0,local,110397253
18814053,110437088,4,64,3250.0,local,110360959
19315123,110386925,3,44,5416.0,local,110397253
19223215,110459170,3,45,5007.0,local,110397253
19012217,110441918,3,46,4594.0,local,110397253
19019131,2366744030,4,65,3602.0,local,110397253
19218229,110392598,100,15,1000000.0,local,110360959
19303037,110414616,0,9,2718.0,local,110360959
19315119,110394015,1,14,2457.0,local,110397253
19316212,312078495,3,47,4656.0,local,110360959
19308206,110413465,2,28,2540.0,local,110360959
19120109,110417188,100,16,1000000.0,local,110397253
19310220,110443304,2,29,2524.0,local,110360959
19120213,110407256,4,66,3099.0,local,110360959
