parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19120213,110407256,5,0,4993.0,local,110397253
19204248,110401288,100,0,1000000.0,local,110397253
19529014,110367804,5,1,5263.0,local,110397253
19310115,110429434,100,1,1000000.0,local,110397253
19223103,110419729,5,2,5154.0,local,110397253
19006114,110435305,5,3,5026.0,local,110397253
19008139,110348362,5,4,5827.0,local,110397253
19227005,3401274918,100,2,1000000.0,local,110397253
19011127,5071533350,1,0,2042.0,local,110397253
19307412,110351008,5,5,5375.0,local,110397253
19217134,110392602,100,3,1000000.0,local,110397253
19310212,110443304,5,6,5513.0,local,110397253
19204134,3367883696,5,7,5399.0,local,110397253
19004240,110348323,5,8,5557.0,local,110397253
19015202,110435310,5,9,5921.0,local,110397253
19006217,110398036,5,10,6237.0,local,110397253
18810036,110396428,100,4,1000000.0,local,110397253
19112217,110392625,5,11,6022.0,local,110397253
19315123,110386925,100,5,1000000.0,local,110397253
19001210,110401311,5,12,5694.0,local,110397253
18817052,3387083166,100,6,1000000.0,local,110397253
19211214,110456934,100,7,1000000.0,local,110397253
19215116,110438784,100,8,1000000.0,local,110397253
19213233,110383328,5,13,5468.0,local,110397253
19310202,110443299,5,14,5824.0,local,110397253
19004134,110414478,5,15,6306.0,local,110397253
19216134,110383607,100,9,1000000.0,local,110397253
19317204,312078495,100,10,1000000.0,local,110397253
19127124,110441845,1,1,2604.0,local,110397253
18815026,110393217,5,16,5519.0,local,110397253
19016124,110438781,5,17,6283.0,local,110397253
19206217,110382867,0,0,2712.0,local,110397253
19128124,110407258,100,11,1000000.0,local,110397253
19308211,2481944221,100,12,1000000.0,local,110397253
19122224,110388967,5,18,6171.0,local,110397253
19004137,110414475,100,13,1000000.0,local,110397253
19310102,110443299,100,14,1000000.0,local,110397253
19208119,110383612,100,15,1000000.0,local,110397253
18814053,110437088,5,19,5901.0,local,110397253
19308115,2481944221,5,20,5993.0,local,110397253
19022230,110388962,5,21,5936.0,local,110397253
19126121,110441845,5,22,6794.0,local,110397253
19205124,110382863,100,16,1000000.0,local,110397253
