parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
18814072,110393217,2,0,2779.0,local,110397253
19314224,110366250,2,1,2781.0,local,110397253
19221219,110392602,5,0,5294.0,local,110397253
19015212,110398036,5,1,5725.0,local,110397253
19112217,110392625,5,2,5102.0,local,110397253
19308206,110413465,3,0,5080.0,local,110397253
19221220,110383331,3,1,5206.0,local,110397253
19216230,110383610,5,3,5368.0,local,110397253
19213132,110438785,100,0,1000000.0,local,110397253
19007124,110455262,100,1,1000000.0,local,110397253
19113113,110441857,5,4,5214.0,local,110397253
19309220,110443301,5,5,5872.0,local,110397253
19012218,110441915,5,6,6048.0,local,110397253
18815064,110437088,0,0,2158.0,local,110397253
19104134,110422635,5,7,5295.0,local,110397253
19115117,110348621,1,0,2590.0,local,110397253
18815060,110450104,0,1,2596.0,local,110397253
19307511,110393241,5,8,5575.0,local,110397253
19223103,110419729,0,2,2094.0,local,110397253
19208234,110419724,0,3,2051.0,local,110397253
19307208,110393241,4,0,2487.0,local,110397253
19313228,110445895,5,9,5778.0,local,110397253
19103210,110392611,100,2,1000000.0,local,110397253
18817040,110382760,4,1,2632.0,local,110397253
19013127,110414480,100,3,1000000.0,local,110397253
19310103,110443299,3,2,4525.0,local,110397253
19101138,110398027,3,3,4876.0,local,110397253
19308137,2481944221,5,10,5607.0,local,110397253
19302041,110382886,100,4,1000000.0,local,110397253
19308222,2481944221,5,11,5547.0,local,110397253
19204237,110358680,3,4,4684.0,local,110397253
19310203,110443299,100,5,1000000.0,local,110397253
19309219,110394015,5,12,6311.0,local,110397253
19303034,110421555,2,2,2558.0,local,110397253
19213233,110383328,5,13,6312.0,local,110397253
19310212,110443304,5,14,5916.0,local,110397253
19022131,110388962,100,6,1000000.0,local,110397253
19015202,110435310,100,7,1000000.0,local,110397253
19014220,110421910,5,15,6115.0,local,110397253
19112115,110366323,100,8,1000000.0,local,110397253
19216136,110383607,3,5,4995.0,local,110397253
19309203,110386918,4,2,2464.0,local,110397253
19210218,110401284,4,3,2881.0,local,110397253
19205227,110383326,3,6,5208.0,local,110397253
19124127,110450446,5,16,6358.0,local,110397253
19106123,110422635,100,9,1000000.0,local,110397253
19119116,110455254,100,10,1000000.0,local,110397253
19013121,110381097,4,4,2804.0,local,110397253
19302050,110367827,3,7,5049.0,local,110397253
19125120,110417193,3,8,4677.0,local,110397253
18815022,110393217,2,3,2499.0,local,110397253
19219228,110392609,5,17,5853.0,local,110397253
19021123,110392637,2,4,2946.0,local,110397253
19313316,110421540,4,5,2553.0,local,110397253
19205232,3367883696,2,5,3244.0,local,110397253
