parcel,origin_osmid,comm,event_cnt,dept_time,type,destin_osmid
19120213,110407256,4,0,2593.0,local,110397253
19204248,110401288,100,0,1000000.0,local,110397253
19529014,110367804,3,0,4935.0,local,110397253
19310115,110429434,100,1,1000000.0,local,110397253
19223103,110419729,5,0,5200.0,local,110397253
19006114,110435305,3,1,4830.0,local,110397253
19008139,110348362,4,1,2595.0,local,110397253
19227005,3401274918,100,2,1000000.0,local,110397253
19011127,5071533350,1,0,2059.0,local,110397253
19307412,110351008,5,1,5522.0,local,110397253
19217134,110392602,5,2,5156.0,local,110397253
19310212,110443304,3,2,4947.0,local,110397253
19204134,3367883696,2,0,2870.0,local,110397253
19004240,110348323,5,3,4958.0,local,110397253
19015202,110435310,2,1,2507.0,local,110397253
19006217,110398036,3,3,4926.0,local,110397253
18810036,110396428,5,4,5648.0,local,110397253
19112217,110392625,3,4,4616.0,local,110397253
19315123,110386925,100,3,1000000.0,local,110397253
19001210,110401311,5,5,5451.0,local,110397253
18817052,3387083166,100,4,1000000.0,local,110397253
19211214,110456934,100,5,1000000.0,local,110397253
19215116,110438784,100,6,1000000.0,local,110397253
19213233,110383328,3,5,4788.0,local,110397253
19310202,110443299,4,2,2607.0,local,110397253
19004134,110414478,3,6,5225.0,local,110397253
19216134,110383607,100,7,1000000.0,local,110397253
19317204,312078495,5,6,5824.0,local,110397253
19127124,110441845,1,1,1974.0,local,110397253
18815026,110393217,5,7,5819.0,local,110397253
19016124,110438781,3,7,5368.0,local,110397253
19206217,110382867,0,0,2401.0,local,110397253
19128124,110407258,100,8,1000000.0,local,110397253
19308211,2481944221,100,9,1000000.0,local,110397253
19122224,110388967,5,8,6033.0,local,110397253
19004137,110414475,5,9,5230.0,local,110397253
19310102,110443299,5,10,6003.0,local,110397253
19208119,110383612,5,11,5733.0,local,110397253
18814053,110437088,3,8,4834.0,local,110397253
19308115,2481944221,3,9,4667.0,local,110397253
19022230,110388962,2,2,2453.0,local,110397253
19126121,110441845,2,3,3086.0,local,110397253
19205124,110382863,100,10,1000000.0,local,110397253
19218130,110410673,3,10,4550.0,local,110397253
18814074,110396428,5,12,5511.0,local,110397253
19113113,110441857,1,2,2560.0,local,110397253
19213211,110438785,5,13,6016.0,local,110397253
19226203,110410670,1,3,2762.0,local,110397253
19121119,110407258,3,11,4754.0,local,110397253
19210114,110401282,2,4,2831.0,local,110397253
19016109,110460422,4,3,3168.0,local,110397253
19022221,110392632,100,11,1000000.0,local,110397253
19226206,110410670,2,5,3250.0,local,110397253
