link_id,x,y,lat,lon,angle
10,526427.5454704631,4198567.8185941195,37.93429703767543,-122.69926219718873,254.75372485735417
10,526417.8595487946,4198565.156020644,37.93427332187136,-122.69937251650445,254.75372485735417
11,526418.7872547421,4198561.781207808,37.93424287812839,-122.6993620834977,74.75366329083658
11,526428.4326476586,4198564.433160434,37.9342664993773,-122.69925222581365,76.13052504078291
11,526438.1670694187,4198566.86002879,37.93428808927629,-122.69914136321883,76.52530094702985
11,526447.9304039347,4198569.223008945,37.9343091024125,-122.69903017389292,76.52536966916966
11,526457.6937384508,4198571.585989099,37.93433011544331,-122.69891898450436,76.52543840962153
11,526467.4570729667,4198573.948969253,37.9343511283687,-122.69880779505317,76.52550712847074
11,526477.2204074828,4198576.311949408,37.934372141188696,-122.69869660553935,76.5255758647146
11,526486.9837419988,4198578.674929562,37.93439315390327,-122.6985854159629,76.5256445931119
11,526496.7470765149,4198581.037909716,37.93441416651245,-122.6984742263238,76.5257133237942
11,526506.5104110312,4198583.400889871,37.93443517901621,-122.69836303662207,76.52578204239381
11,526516.2737455469,4198585.763870026,37.93445619141459,-122.6982518468577,76.52585078716629
11,526526.037080063,4198588.12685018,37.93447720370754,-122.69814065703072,76.52591951531394
11,526535.800414579,4198590.489830335,37.934498215895076,-122.69802946714108,76.52598824242807
11,526545.5637490951,4198592.852810489,37.93451922797721,-122.69791827718883,76.52605697484
11,526555.327083611,4198595.215790643,37.93454023995394,-122.69780708717394,76.52612570923117
11,526565.0904181271,4198597.578770798,37.93456125182525,-122.69769589709641,76.52619443018614
11,526574.8537526431,4198599.941750952,37.93458226359117,-122.69758470695625,76.52626316914757
11,526584.6203940761,4198602.30553487,37.934603282399124,-122.69747347909235,76.41449368232918
11,526594.3791124132,4198604.687496534,37.93462446516724,-122.69736234065586,76.41449368232918
12,527074.0397747983,4196507.347803131,37.915707220066686,-122.6919828512146,248.86906176082567
12,527064.6266990631,4196503.68920686,37.91567452572802,-122.69209007834759,248.86899544091762
12,527055.2136233278,4196500.030610589,37.91564183129106,-122.69219730538623,248.86892915236183
12,527045.8005475926,4196496.372014319,37.91560913675582,-122.69230453233055,248.86886282735895
12,527036.3874718572,4196492.713418048,37.91557644212227,-122.6924117591805,248.86879652808562
12,527026.9743961219,4196489.054821777,37.915543747390466,-122.6925189859361,248.86873021382425
12,527017.5613203867,4196485.3962255055,37.91551105256035,-122.69262621259736,248.8686639164371
12,527008.1482446515,4196481.737629235,37.91547835763196,-122.69273343916427,248.8685976020244
12,526998.7351689162,4196478.079032964,37.9154456626053,-122.6928406656368,248.86853130106397
12,526989.322093181,4196474.420436693,37.91541296748034,-122.69294789201501,248.86846499926702
12,526979.9090174456,4196470.761840423,37.91538027225711,-122.69305511829887,248.86839868878403
12,526970.4959417104,4196467.103244152,37.91534757693559,-122.69316234448839,248.86833238444552
12,526961.0828659751,4196463.444647881,37.91531488151579,-122.69326957058352,248.86826606647747
12,526951.6431024303,4196459.775425877,37.91528209102003,-122.69337710059918,247.9248308842957
12,526942.1248760108,4196455.883381916,37.91524729447796,-122.69348553149602,241.56550013275125
12,526933.2515328313,4196451.061027482,37.91520409393837,-122.69358666048183,241.56543754110305
12,526924.3781896522,4196446.238673047,37.91516089331105,-122.69368778934978,241.5653749638912
12,526915.4398501304,4196441.379172929,37.91511735972947,-122.69378965892538,239.1088538747341
12,526906.1298384467,4196435.145034735,37.91506144757866,-122.6938958080876,192.2847985988069
12,526904.004844681,4196425.272055298,37.91497252625939,-122.69392035200016,192.28478307785028
12,526901.917254423,4196415.5428780755,37.91488489990212,-122.69394446495933,197.13335565691756
12,526899.0066206105,4196406.018038589,37.914799139561204,-122.69397793363163,200.790292132503
12,526896.3047102641,4196397.522077769,37.914722646218465,-122.6940089892612,243.90423007312808
12,526888.8325614524,4196393.75169741,37.914688885128655,-122.69409413721904,261.95903746629057
12,526878.836630897,4196392.312012096,37.9146762049071,-122.69420791002854,261.95896721100326
12,526868.4934659111,4196390.785326141,37.91466275070699,-122.69432563636926,250.17510039993178
12,526858.8932870247,4196387.275530915,37.91463140087283,-122.69443498399754,240.25339654348028
12,526850.1323894198,4196382.251787825,37.914586381090274,-122.69453483985409,240.2533347413118
12,526841.371491815,4196377.228044735,37.91454136122214,-122.6946346955893,240.25327292694072
12,526832.6105942103,4196372.204301646,37.91449634126842,-122.6947345512032,240.25321113172924
