eid,nid_s,nid_e,type,lanes,capacity,maxmph,fft,length,geometry
42,89,90,residential,1,1900.0,25.0,6.8684658745523715,76.75978849522096,"LINESTRING (525808.9096748353 4194548.814963335, 525853.7690902613 4194486.601460967)"
43,90,89,residential,1,1900.0,25.0,6.8684658745523715,76.75978849522096,"LINESTRING (525853.7690902613 4194486.601460967, 525808.9096748353 4194548.814963335)"
44,90,95,residential,1,1900.0,25.0,15.082141432459988,168.55321225368783,"LINESTRING (525853.7690902613 4194486.601460967, 525948.9605948844 4194347.680038726)"
45,95,90,residential,1,1900.0,25.0,15.082141432459988,168.55321225368783,"LINESTRING (525948.9605948844 4194347.680038726, 525853.7690902613 4194486.601460967)"
46,95,94,residential,1,1900.0,25.0,11.238397827458583,125.59675712403423,"LINESTRING (525948.9605948844 4194347.680038726, 526020.416797813 4194244.521747135)"
47,94,95,residential,1,1900.0,25.0,11.238397827458583,125.59675712403423,"LINESTRING (526020.416797813 4194244.521747135, 525948.9605948844 4194347.680038726)"
48,124,127,residential,1,1900.0,25.0,6.772610906544299,75.68854388180934,"LINESTRING (526792.634611712 4195192.516732397, 526730.886778953 4195148.6667375)"
49,127,124,residential,1,1900.0,25.0,6.772610906544299,75.68854388180934,"LINESTRING (526730.886778953 4195148.6667375, 526792.634611712 4195192.516732397)"
50,127,128,residential,1,1900.0,25.0,6.528322014812119,72.95844898091326,"LINESTRING (526730.886778953 4195148.6667375, 526671.2071883754 4195106.621363047)"
51,128,127,residential,1,1900.0,25.0,6.528322014812119,72.95844898091326,"LINESTRING (526671.2071883754 4195106.621363047, 526730.886778953 4195148.6667375)"
52,128,91,residential,1,1900.0,25.0,6.522838894710217,72.8971713758406,"LINESTRING (526671.2071883754 4195106.621363047, 526610.5373506636 4195066.115446975)"
53,91,128,residential,1,1900.0,25.0,6.522838894710217,72.8971713758406,"LINESTRING (526610.5373506636 4195066.115446975, 526671.2071883754 4195106.621363047)"
54,91,252,residential,1,1900.0,25.0,6.724313321520538,75.14878544390409,"LINESTRING (526610.5373506636 4195066.115446975, 526550.020905913 4195021.494173239)"
55,252,91,residential,1,1900.0,25.0,6.724313321520538,75.14878544390409,"LINESTRING (526550.020905913 4195021.494173239, 526610.5373506636 4195066.115446975)"
56,252,129,residential,1,1900.0,25.0,6.086906638322341,68.02533122845709,"LINESTRING (526550.020905913 4195021.494173239, 526495.7960456236 4194980.366473109)"
57,129,252,residential,1,1900.0,25.0,6.086906638322341,68.02533122845709,"LINESTRING (526495.7960456236 4194980.366473109, 526550.020905913 4195021.494173239)"
58,129,130,residential,1,1900.0,25.0,6.78000303771535,75.77115598698424,"LINESTRING (526495.7960456236 4194980.366473109, 526433.5067499892 4194937.138339463)"
59,130,129,residential,1,1900.0,25.0,6.78000303771535,75.77115598698424,"LINESTRING (526433.5067499892 4194937.138339463, 526495.7960456236 4194980.366473109)"
60,130,162,residential,1,1900.0,25.0,6.8935619806096575,77.04025458884284,"LINESTRING (526433.5067499892 4194937.138339463, 526371.3121363143 4194891.603195896)"
61,162,130,residential,1,1900.0,25.0,6.8935619806096575,77.04025458884284,"LINESTRING (526371.3121363143 4194891.603195896, 526433.5067499892 4194937.138339463)"
62,162,164,residential,1,1900.0,25.0,6.662140458827956,74.45396131904288,"LINESTRING (526371.3121363143 4194891.603195896, 526310.0386302957 4194849.222517353)"
63,164,162,residential,1,1900.0,25.0,6.662140458827956,74.45396131904288,"LINESTRING (526310.0386302957 4194849.222517353, 526371.3121363143 4194891.603195896)"
64,164,170,residential,1,1900.0,25.0,6.53934420917005,73.08162951687584,"LINESTRING (526310.0386302957 4194849.222517353, 526250.9735338702 4194806.117093124)"
65,170,164,residential,1,1900.0,25.0,6.53934420917005,73.08162951687584,"LINESTRING (526250.9735338702 4194806.117093124, 526310.0386302957 4194849.222517353)"
66,170,142,residential,1,1900.0,25.0,6.635394491926072,74.1550569057451,"LINESTRING (526250.9735338702 4194806.117093124, 526190.6067566399 4194762.974659348)"
67,142,170,residential,1,1900.0,25.0,6.635394491926072,74.1550569057451,"LINESTRING (526190.6067566399 4194762.974659348, 526250.9735338702 4194806.117093124)"
68,142,151,residential,1,1900.0,25.0,6.670052782183488,74.54238692650299,"LINESTRING (526190.6067566399 4194762.974659348, 526129.7557656267 4194719.8422304)"
69,151,142,residential,1,1900.0,25.0,6.670052782183488,74.54238692650299,"LINESTRING (526129.7557656267 4194719.8422304, 526190.6067566399 4194762.974659348)"
70,151,146,residential,1,1900.0,25.0,6.29337495575578,70.33275542865199,"LINESTRING (526129.7557656267 4194719.8422304, 526072.8991309013 4194678.376140099)"
71,146,151,residential,1,1900.0,25.0,6.29337495575578,70.33275542865199,"LINESTRING (526072.8991309013 4194678.376140099, 526129.7557656267 4194719.8422304)"
72,146,149,residential,1,1900.0,25.0,6.622886872435977,74.01527573129165,"LINESTRING (526072.8991309013 4194678.376140099, 526013.8630050484 4194633.674844288)"
73,149,146,residential,1,1900.0,25.0,6.622886872435977,74.01527573129165,"LINESTRING (526013.8630050484 4194633.674844288, 526072.8991309013 4194678.376140099)"
74,149,48,residential,1,1900.0,25.0,6.539755917215302,73.08623063494973,"LINESTRING (526013.8630050484 4194633.674844288, 525977.8418314932 4194606.166694598, 525954.9624813852 4194590.372401726)"
75,48,149,residential,1,1900.0,25.0,6.539755917215302,73.08623063494973,"LINESTRING (525954.9624813852 4194590.372401726, 525977.8418314932 4194606.166694598, 526013.8630050484 4194633.674844288)"
76,48,152,residential,1,1900.0,25.0,6.770039582774418,75.65980758576684,"LINESTRING (525954.9624813852 4194590.372401726, 525913.9475704362 4194568.274268632, 525886.4772250003 4194558.479241331)"
77,152,48,residential,1,1900.0,25.0,6.770039582774418,75.65980758576684,"LINESTRING (525886.4772250003 4194558.479241331, 525913.9475704362 4194568.274268632, 525954.9624813852 4194590.372401726)"
78,152,89,residential,1,1900.0,25.0,6.980913109761457,78.01646300582763,"LINESTRING (525886.4772250003 4194558.479241331, 525808.9096748353 4194548.814963335)"
79,89,152,residential,1,1900.0,25.0,6.980913109761457,78.01646300582763,"LINESTRING (525808.9096748353 4194548.814963335, 525886.4772250003 4194558.479241331)"
80,89,153,residential,1,1900.0,25.0,13.243274245429555,148.00261785236427,"LINESTRING (525808.9096748353 4194548.814963335, 525766.9418855811 4194541.582088035, 525741.0017147507 4194534.388626109, 525703.5205375587 4194520.646206953, 525668.4130541644 4194504.104314562)"
81,153,89,residential,1,1900.0,25.0,13.243274245429555,148.00261785236427,"LINESTRING (525668.4130541644 4194504.104314562, 525703.5205375587 4194520.646206953, 525741.0017147507 4194534.388626109, 525766.9418855811 4194541.582088035, 525808.9096748353 4194548.814963335)"
82,153,57,residential,1,1900.0,25.0,3.1961402818706772,35.71904651174203,"LINESTRING (525668.4130541644 4194504.104314562, 525638.1046454912 4194485.147736283)"
83,57,153,residential,1,1900.0,25.0,3.1961402818706772,35.71904651174203,"LINESTRING (525638.1046454912 4194485.147736283, 525668.4130541644 4194504.104314562)"
